Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
"HAIYAN GOLDEN GATE SOCKS INDUSTRY CO., LTD",Equipment,Converse,,"TONG YUAN TOWN, ZHANG QIAO VILLAGE",HAIYAN,ZHEJIANG,,China,Greater China,54,38,81,0,,,,,
"HUIZHOU YANGMING BAGS & CAPS.,LTD",Equipment,Converse,,"DA ZHONG TANG#1,XIA JIAO,HUIZHOU CITY GUANGDONG,CHINA",HUIZHOU,GUANGDONG,516001,China,Greater China,153,104,66,65.4,,,,,
JIAHONG LAUNDRY(ZHONGSHAN) LTD,Footwear,Converse,,"DAYAN INDUSTRIAL ESTATE, HUANGPU TOWN",ZHONGSHAN,GUANGDONG,0,China,Greater China,127,115,46,0,,,,,
"JIANDI SHOE MATERIALS PRODUCTS CO, LTD",Footwear,Converse,,"TAI-LANG INDUSTRIAL PARK, LI-SUI CHEN",NANHAI,GUANGDONG,528244,China,Greater China,365,320,35,0,,,,,
"JIANGSU JINHUBAO GARMENT CO., LTD",Apparel,Converse,,"LIDIAN TOWN, HANJIANG DISTRICT",YANGZHOU,JIANGSU,225106,China,Greater China,260,240,80,0,,,,,
JIANGSU OXFORD SAINTY GARMENTS MANUFACTURING CO,Apparel,Converse,,88 SAINTY RD,JIANGDU CITY,JIANGSU PROVINCE,200336,China,Greater China,556,516,86,0,,,,,
"JIAXING CHENXIN GARMENT CO., LTD",Apparel,Converse,,JIAXING SILK INDUSTRIAL ZONE,JIAXING,ZHEJIANG,314000,China,Greater China,480,390,72,0,,,,,
LIEN HONG BAGS & ACCESSORIES MANUFACTURER,Equipment,Converse,,"SUN GEE MANAGEMENT ZONE, DONG GUAN, GUANGDONG PROVINCE, CHINA",DONG GUAN,GUANGDONG,,China,Greater China,378,242,42,0,,,,,
"MAO QUAN FOOTWEAR CO.,LTD",Footwear,Converse,,"INDUSTRY DISTRICT, CAIBIAN VILLAGE 1, DONGHUAN STREET, PANYU",GUANGZHOU,GUANGDONG PROVINCE,511442,China,Greater China,360,242,26,0,,,,,
"NA MEI (DONGGUAN) FASHION CO., LTD.",Equipment,Converse,,"DA JIAO LING INDUSTRIAL PARK, DA LANG DISTRICT,",DONGGUAN,GUANGDONG,,China,Greater China,984,675,78,0,,,,,
