conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
B-1,4,1064643.2,119,8946.581513,0.016528926,Rhino,19166,Sparky,9382,,,,,,,28548,19.04464676,17.93869316,,533310.5191,18.68118674,17.93869316,19.04464676,2,35,25,74,,,67.13605156,-13.17518248,-5,-6,3,2,3,1
B-1,5,1048040.3,118,8881.697458,0.008403361,Rhino,14839,Sparky,5509,,,,,,,20348,21.56912928,17.11505592,,414351.1524,20.36323729,17.11505592,21.56912928,2,27,24,52,,,72.9260861,-28.72355331,-8,-1,3,2,3,1
B-1,6,1102741.5,118,9345.266949,0,Sparky,12316,Rhino,10149,PortLand,400,,,,,22865,17.05225767,21.6222328,21.95000076,438239.6465,19.16639608,17.05225767,21.95000076,3,33,26,49,,,53.86398426,12.36976607,6,2,3,2,2.5,2
B-1,7,1077967.9,114,9455.858772,0.033898305,Sparky,15587,Rhino,13535,Bull,11028,PortLand,2120,METRO,195,42513,15.94182479,23.96429178,17.17181758,814124.8676,19.15002158,15.94182479,26,6,58,42,76,Hannover,48,36.66407922,85.9304614,25,16,3,2,2.5,2
B-1,8,1053509.9,111,9491.08018,0.026315789,Rhino,21780,Bull,19404,Sparky,6240,PortLand,1299,METRO,385,49108,22.9386089,16.96586288,16.78131974,970215.5629,19.75677207,16.78131974,22.9386089,5,35,24,55,,,44.35122587,15.51290194,-23,-18,3,2,3,1
B-1,9,1016247,115,8836.930435,0,Rhino,5382,Sparky,5370,PortLand,672,,,,,11424,20.13924156,18.35739515,21.66660769,221528.5704,19.39150651,18.35739515,21.66660769,3,15,11,19,,,47.11134454,-76.73698786,-20,-13,3,2,3,1
B-2,1,834580.8,99,8430.109091,,Rhino,6515,Sparky,3075,TAMPA,1800,,,,,11390,18.63119891,10.79020786,16.74733314,184707.3497,16.21662421,10.79020786,18.63119891,3,9,6,24,,,57.19929763,,,,3,2,3,1
B-2,2,1022799.5,115,8893.908696,0,Rhino,4098,TAMPA,2720,K2,1632,Lamby,1254,Sparky,750,10454,15.4662373,16.39661741,27.14658082,176526.3653,16.88601161,10.52799988,27.14658082,5,19,13,27,,,39.2003061,-8.217734855,10,7,3,2,3,1
B-2,3,1004735.6,135,7442.485926,0,K2,7260,Rhino,3042,Sparky,1511,,,,,11813,26.86819825,15.3385996,19.38285065,271010.6266,22.94172747,15.3385996,26.86819825,3,11,8,15,,,61.45771608,12.99980869,-8,-5,,,,
B-2,4,1055753.5,131,8059.187023,0.02962963,K2,15834,Sparky,2025,Rhino,1620,TAMPA,1440,,,20919,28.04083723,16.24343837,17.86559277,529731.8391,25.3230001,16.24343837,28.04083723,4,17,10,24,,,75.69195468,77.08456785,6,2,,,,
B-2,5,1050436.6,124,8471.262903,0.053435115,K2,10092,Rhino,1476,,,,,,,11568,27.86014271,15.71333363,,304357.4407,26.31029051,15.71333363,27.86014271,2,8,6,12,,,87.2406639,-44.70098953,-9,-4,,,,
B-2,6,1043330.5,125,8346.644,0,K2,8886,Rhino,1224,PortLand,324,,,,,10434,27.57672554,23.40999985,22.25,280909.623,26.92252472,22.25,27.57672554,3,5,5,5,,,85.16388729,-9.802904564,-3,-1,,,,
B-2,7,972141.1,118,8238.483898,0.056,K2,27564,Sparky,3904,Rhino,1402,,,,,32870,27.82100573,14.74587674,17.8958347,849516.0649,25.84472361,14.74587674,27.82100573,3,15,9,28,,,83.85762093,215.0277938,10,4,,,,
B-2,8,942805.1,112,8417.902679,0.050847458,K2,45900,Rhino,546,,,,,,,46446,27.84300646,15.60000038,,1286511.597,27.69908273,15.60000038,27.84300646,2,12,5,21,,,98.82444129,41.30209918,-3,-4,,,,
B-2,9,861845.7,107,8054.63271,0.044642857,K2,18048,Rhino,1710,,,,,,,19758,26.53714089,18.34000015,,510303.719,25.82770114,18.34000015,26.53714089,2,9,4,12,,,91.34527786,-57.46027645,-3,-1,,,,
B-3,1,1039395.2,113,9198.187611,,Sparky,10495,PortLand,4656,Reliance-B,569,,,,,15720,16.860611,17.6215211,22.45190316,271773.0476,17.28836181,16.860611,22.45190316,3,16,11,28,,,66.76208651,,,,3,2,2.5,2
B-3,2,1064642.8,114,9338.97193,0,Sparky,32998,Lamby,2434,PortLand,900,Joburg,401,,,36733,16.6292442,10.51319008,16.75,599541.2046,16.32159651,10.51319008,25.29999924,4,25,11,43,,,89.83203114,133.6704835,9,0,3,2,2.5,2
