repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure
2585544,Meulaboh Power Generation; PT,Indonesia,ID,Construction and Materials | Utilities,,,,False
2585550,Bumi Mentari Energi; PT,Indonesia,ID,Mining,,,,False
2585678,Citra Buana Prasida; PT (Persero) (formerly Prasetia Sejati),Indonesia,ID,Construction and Materials | Support Services (Industrial Goods and Services) | Food and Beverage | Financial Services,https://citrabuanaprasida.co.id/,ID1000181407,ID1000181407,False
2585696,Pelayaran Kartika Samudra Adijaya; PT (KSA; PT),Indonesia,ID,Industrial Transportation,https://ptksa.id/,,,False
2585699,Chau Tien Co Ltd,Vietnam,VN,Construction and Materials,,,,False
2585700,VP International Logistics Indonesia; PT,Indonesia,ID,Industrial Transportation,,,,False
2585705,General Motors Indonesia; PT,Indonesia,ID,Retail,,,,False
2585707,Jakarta Monorail; PT (JM; PT),Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
2585713,PSS; CV,Indonesia,ID,Unspecified,,,,False
2585909,Adonia Footwear Indonesia; PT,Indonesia,ID,Personal and Household Goods,,,,False
2586010,Saleh Steel Industries Ltd,Bangladesh,BD,Industrial Metals,https://salehsteel.com.bd/,,,False
2586065,Digital Credit Trading Service Co Ltd,Vietnam,VN,Financial Services,,,,False
2586066,Fincap VN Co Ltd,Vietnam,VN,Financial Services,,,,False
2586074,Sofi Solutions Co Ltd,Vietnam,VN,Support Services (Industrial Goods and Services) | Financial Services,,,,False
2586253,Manahwell Healthcare Pvt Ltd (Manah Wellness),Indonesia,ID,Health Care Equipment and Services,https://www.manahwellness.com/,,,True
2586269,Comilla Spinning Mills Ltd,Bangladesh,BD,Personal and Household Goods,https://www.united.com.bd/our-concerns/comilla-spinning-mills-ltd/,,,True
2586274,Anugerah Teknik Industri; PT,Indonesia,ID,Industrial Engineering | Mining,,,,False
2586318,Trikorindotama Wanakarya; PT,Indonesia,ID,Forestry,,,,False
2586564,Huong Sen Comfor Yarn Spinning Co Ltd,Vietnam,VN,Personal and Household Goods,https://vietnamcottonyarns.com/,,,True
2586669,Bangladesh Smart Electrical Co (BESCO),Bangladesh,BD,Electronic and Electrical Equipment,http://www.bseco.org.bd/,,,False
2586688,Giant Ibis Transport Co Ltd,Cambodia,KH,Travel and Leisure,https://www.giantibis.com/,,,False
2586711,Bumi Mekar Tani; PT,Indonesia,ID,Food and Beverage,,,,False
2586772,ASA Foodenesia Abadi; PT,Indonesia,ID,Food and Beverage,https://asafoods.co/,,,False
