repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure,cName
2553981,Patra Drilling Contractor; PT,Indonesia,ID,Oil and Gas,https://www.pertamina-pdc.com/,,,0,patra drilling contractor pt
255402,Mas Capital Trust PT,Indonesia,ID,Oil and Gas,,,,0,mas capital trust pt
2554025,Aris Makmur Mandiri; PT,Indonesia,ID,Construction and Materials,,,,1,aris makmur mandiri pt
2554041,Agro Rubber Industry; PT,Indonesia,ID,Personal and Household Goods,,,,1,agro rubber industry pt
2554185,Sinar Rawas Gemilang; PT,Indonesia,ID,Mining,,,,0,sinar rawas gemilang pt
2554227,Kawan Lama Sejahtera; PT,Indonesia,ID,Industrial Engineering | Retail,https://www.kawanlama.com/,,,1,kawan lama sejahtera pt
2554310,Karya Kita Putra Pertiwi; PT,Indonesia,ID,Construction and Materials,,,,0,karya kita putra pertiwi pt
2554332,Fadent Consolidated Companies; PT (PT FCC),Indonesia,ID,Unspecified,,,,0,fadent consolidated companies pt
2554342,Tubagus Rangin; PT,Indonesia,ID,Construction and Materials,,,,0,tubagus rangin pt
2554484,Aviry Mitra Media; PT,Indonesia,ID,Unspecified,,,,0,aviry mitra media pt
2554540,Leadership Islands Indonesia; PT,Indonesia,ID,Travel and Leisure,,,,0,leadership islands indonesia pt
2554566,Nugraha Adi Taruna; PT,Indonesia,ID,Construction and Materials,,,,0,nugraha adi taruna pt
2554689,Al-Mimari,Jordan,JO,Personal and Household Goods,,,,0,al-mimari
2554693,Rama Emerald Multi Sukses; PT,Indonesia,ID,Pharmaceuticals and Biotechnology,https://ramaemeraldmultisukses.co.id/,,,0,rama emerald multi sukses pt
2554704,Paragon Poultry Ltd,Bangladesh,BD,Food and Beverage,https://www.paragongroup-bd.com,,,0,paragon poultry ltd
2554705,Chittagong Feed Ltd,Bangladesh,BD,Food and Beverage,https://paragongroup-bd.net/our-company/chittagong-feed-ltd,,,1,chittagong feed ltd
2554720,SOO Textiles Ltd,Bangladesh,BD,Personal and Household Goods,,,,1,soo textiles ltd
2554789,Software Development & IT Solution JSC (Cadpro),Vietnam,VN,Software and Computer Services,,,,1,software development and it solution jsc
2554792,Surveyor Indonesia; PT (Persero),Indonesia,ID,Construction and Materials,https://www.ptsi.co.id/,,,0,surveyor indonesia pt
