conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,cus6,cus6ps,numbuyers,cus1share,allps,avgprice,minprice,maxprice,cus1price,cus2price,cus3price,numstyles,numartno,numbatches,pschange,stylesch,artnoch
C-2,4,533033.9,71,7507.519718,0,Crown,4544,Rhino,3511,Bernie,100,,,,,,,3,55.72041692,8155,17.98750925,16.0107131,20.53102522,16.0107131,20.53102522,18.51028061,15,9,25,-65.23722239,-11.76470588,28.57142857
C-2,5,583085.6,71,8212.473239,0,Crown,14880,Bernie,1650,,,,,,,,,2,90.01814882,16530,16.38650136,16.0696006,19.24437003,16.0696006,19.24437003,,13,10,18,102.6977315,-13.33333333,11.11111111
C-2,6,525646.4,63,8343.593651,0.112676056,Crown,11055,,,,,,,,,,,1,100,11055,16.77855907,16.77855907,16.77855907,16.77855907,,,16,6,21,-33.1215971,23.07692308,-40
C-2,7,534175.8,59,9053.827119,0.063492063,Crown,37697,Rhino,1421,,,,,,,,,2,96.3674012,39118,16.71837628,16.57891142,20.41816995,16.57891142,20.41816995,,40,22,50,253.8489371,150,266.6666667
C-2,8,537181.3,59,9104.767797,0,Crown,26849,,,,,,,,,,,1,100,26849,17.52297836,17.52297836,17.52297836,17.52297836,,,13,9,16,-31.36407792,-67.5,-59.09090909
C-2,9,578916.4,62,9337.36129,0,Crown,13109,,,,,,,,,,,1,100,13109,17.57949127,17.57949127,17.57949127,17.57949127,,,20,7,32,-51.17509032,53.84615385,-22.22222222
C-3,1,653500.6,74,8831.089189,,Crown,22464,,,,,,,,,,,1,100,22464,16.28140324,16.28140324,16.28140324,16.28140324,,,23,14,35,,,
C-3,2,647810.4,74,8754.194595,0,Crown,21300,,,,,,,,,,,1,100,21300,17.48389774,17.48389774,17.48389774,17.48389774,,,12,8,17,-5.181623932,-47.82608696,-42.85714286
C-3,3,630407,70,9005.814286,0.054054054,Crown,15431,,,,,,,,,,,1,100,15431,17.23345715,17.23345715,17.23345715,17.23345715,,,10,7,13,-27.55399061,-16.66666667,-12.5
C-3,4,610928.1,70,8727.544286,0,Crown,15194,,,,,,,,,,,1,100,15194,16.69217122,16.69217122,16.69217122,16.69217122,,,16,10,18,-1.535869354,60,42.85714286
C-3,5,656209.7,75,8749.462667,0,Crown,16409,,,,,,,,,,,1,100,16409,15.75345964,15.75345964,15.75345964,15.75345964,,,13,8,15,7.996577596,-18.75,-20
C-3,6,531577.1,64,8305.892188,0.146666667,Crown,16604,,,,,,,,,,,1,100,16604,16.40529752,16.40529752,16.40529752,16.40529752,,,20,14,24,1.188372235,53.84615385,75
C-3,7,542775.7,61,8897.962295,0.046875,Crown,29329,,,,,,,,,,,1,100,29329,17.01824499,17.01824499,17.01824499,17.01824499,,,38,18,57,76.63815948,90,28.57142857
C-3,8,541627.3,60,9027.121667,0.016393443,Crown,22190,Hannover,72,,,,,,,,,2,99.67657892,22262,16.81148046,16.77761055,27.25,16.77761055,27.25,,19,13,21,-24.09560503,-50,-27.77777778
C-3,9,516052.9,57,9053.559649,0.05,Crown,17253,,,,,,,,,,,1,100,17253,17.3612006,17.3612006,17.3612006,17.3612006,,,19,15,22,-22.5002246,0,15.38461538
C-4,1,645171.4,76,8489.097368,,Crown,11371,,,,,,,,,,,1,100,11371,16.45407691,16.45407691,16.45407691,16.45407691,,,7,7,9,,,
C-4,2,647069.2,73,8863.961644,0.039473684,Crown,22317,,,,,,,,,,,1,100,22317,16.37718372,16.37718372,16.37718372,16.37718372,,,13,7,16,96.26242195,85.71428571,0
C-4,3,607777.7,72,8441.356944,0.01369863,Crown,20315,,,,,,,,,,,1,100,20315,16.38758384,16.38758384,16.38758384,16.38758384,,,12,7,17,-8.970739795,-7.692307692,0
