conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
B-2,8,942805.1,112,8417.902679,0.050847458,K2,18030.0,,,,,,,,,18030,28.16304802,,,507779.7557,28.16304802,28.16304802,28.16304802,1,5,3,5,,,100.0,-42.43295019,-4.0,0.0,,,,
B-2,9,861845.7,107,8054.63271,0.044642857,K2,20478.0,Rhino,2256.0,,,,,,,22734,26.3653707,17.67686191,,579789.0616,25.50316977,17.67686191,26.3653707,2,10,6,13,,,90.07653734,26.08985025,5.0,3.0,,,,
B-3,1,1039395.2,113,9198.187611,,Sparky,25052.0,PortLand,3489.0,Reliance-B,133.0,,,,,28674,17.0216458,18.60675025,21.73501587,494235.9792,17.23638067,17.0216458,21.73501587,3,20,11,31,,,87.36834763,,,,3.0,2.0,2.5,2.0
B-3,2,1064642.8,114,9338.97193,0.0,Sparky,28195.0,PortLand,2358.0,Joburg,401.0,,,,,30954,16.86446381,17.17951673,25.29999924,526148.1573,16.99774366,16.86446381,25.29999924,3,19,9,39,,,91.08677392,7.951454279,-1.0,-2.0,3.0,2.0,2.5,2.0
B-3,3,1043005.6,118,8839.030508,0.0,Sparky,33605.0,PortLand,240.0,,,,,,,33845,17.78276426,17.85000038,,601873.7932,17.78324105,17.78276426,17.85000038,2,21,13,41,,,99.29088492,9.33966531,2.0,4.0,3.0,2.0,2.5,2.0
B-3,4,945685.3,115,8223.350435,0.025423729,Sparky,26894.0,PortLand,288.0,,,,,,,27182,16.87967364,16.04999924,,458584.3428,16.87088304,16.04999924,16.87967364,2,30,24,45,,,98.94047531,-19.6868075,9.0,11.0,3.0,2.0,2.5,2.0
B-3,5,978177.5,114,8580.504386,0.008695652,Sparky,26577.0,PortLand,324.0,,,,,,,26901,16.16181846,16.04999924,,434732.8489,16.16047169,16.04999924,16.16181846,2,29,21,43,,,98.79558381,-1.033772349,-1.0,-3.0,3.0,2.0,2.5,2.0
B-3,6,1007703.7,108,9330.589815,0.052631579,Sparky,29491.0,Rhino,588.0,,,,,,,30079,18.03790944,18.34000015,,542739.9075,18.04381487,18.03790944,18.34000015,2,27,23,44,,,98.04514778,11.81368722,-2.0,2.0,3.0,2.0,2.5,2.0
B-3,7,983104.1,111,8856.793694,0.0,Sparky,25824.0,Rhino,6773.0,,,,,,,32597,19.48392156,22.6118602,,656302.9196,20.13384421,19.48392156,22.6118602,2,33,23,48,,,79.2220143,8.371288939,6.0,0.0,3.0,2.0,2.5,2.0
B-3,8,1013315.6,113,8967.39469,0.0,Sparky,17444.0,Tilden,9594.0,Rhino,1657.0,PortLand,888.0,,,29583,16.44876036,24.55000019,25.42793004,583477.8379,19.72341676,16.44876036,25.42793004,4,27,19,41,,,58.96629821,-9.246249655,-6.0,-4.0,3.0,2.0,2.5,2.0
B-3,9,1041660.6,118,8827.632203,0.0,Crown,11268.0,Sparky,10782.0,,,,,,,22050,17.62726324,16.82647491,,380047.0547,17.23569409,16.82647491,17.62726324,2,17,11,23,,,51.10204082,-25.46394889,-10.0,-8.0,3.0,2.0,3.0,2.0
B-4,1,1045119.8,119,8782.519328,,T4,20026.0,Crown,7200.0,Sparky,5747.0,PortLand,4480.0,Reliance-B,48.0,37501,15.80000019,19.09499073,18.69781405,652051.3552,17.38757247,15.80000019,21.73501587,5,18,15,34,,,53.40124263,,,,,,,
B-4,2,1078708.3,116,9299.209483,0.025210084,Sparky,22944.0,PortLand,6486.0,Joburg,1201.0,Rhino,60.0,,,30691,17.51994621,19.04646953,22.53272222,554040.6467,18.05221878,17.51994621,24.43000031,4,30,23,53,,,74.7580724,-18.15951575,12.0,8.0,3.0,2.0,2.5,2.0
B-4,3,1032239.6,118,8747.79322,0.0,Sparky,21696.0,Rhino,4734.0,PortLand,2948.0,,,,,29378,17.21155784,21.3834344,19.02449147,530735.3382,18.06574097,17.21155784,21.3834344,3,34,24,55,,,73.85118116,-4.278127138,4.0,1.0,3.0,2.0,2.5,2.0
B-4,4,930334.4,111,8381.390991,0.059322034,Sparky,18202.0,Rhino,3480.0,Crown,2988.0,,,,,24670,15.79783752,20.62055165,16.05549149,407285.5669,16.50934604,15.79783752,20.62055165,3,27,26,54,,,73.78192136,-16.02559739,-7.0,2.0,3.0,2.0,2.5,2.0
B-4,5,981126.0,116,8457.982759,0.0,Sparky,23842.0,Bernie,800.0,,,,,,,24642,16.19001365,21.65376091,,403325.3141,16.36739364,16.19001365,21.65376091,2,36,35,50,,,96.75351027,-0.113498176,9.0,9.0,3.0,2.0,2.5,2.0
B-4,6,1034608.8,115,8996.598261,0.00862069,Sparky,28987.0,Addison,3000.0,,,,,,,31987,15.70557299,21.68333371,,520307.4455,16.26621582,15.70557299,21.68333371,2,27,25,40,,,90.62118986,29.80683386,-9.0,-10.0,3.0,2.0,2.5,2.0
B-4,7,1055478.6,115,9178.074783,0.0,Sparky,31149.0,Addison,3000.0,Hannover,240.0,,,,,34389,16.64358109,23.11666679,28.75,594680.9078,17.29276536,16.64358109,28.75,3,38,34,52,,,90.57838262,7.509300653,11.0,9.0,3.0,2.0,2.5,2.0
B-4,8,1056341.5,117,9028.559829,0.0,Sparky,26458.0,,,,,,,,,26458,18.41827553,,,487310.7339,18.41827553,18.41827553,18.41827553,1,23,20,30,,,100.0,-23.06260723,-15.0,-14.0,3.0,2.0,2.5,2.0
B-4,9,967285.6,116,8338.668966,0.008547009,Sparky,9906.0,Crown,9428.0,Hannover,240.0,,,,,19574,16.67882625,18.16920692,27.125,343029.7356,17.52476426,16.67882625,27.125,3,20,18,26,,,50.60794932,-26.01859551,-3.0,-2.0,3.0,2.0,2.5,2.0
C-1,1,670368.3,74,9059.031081,,Crown,13602.0,Rhino,2452.0,Sparky,2393.0,PortLand,952.0,Decathlon,522.0,19942,15.57857926,20.42893962,17.24916487,324922.5901,16.29338031,6.286480427,20.42893962,6,28,20,34,T4,21.0,68.20780263,,,,3.0,2.0,3.0,2.0
C-1,2,668336.8,76,8793.905263,0.0,Crown,16574.0,Rhino,4124.0,Bull,3204.0,Sparky,3050.0,PortLand,634.0,27586,15.67451828,19.62629949,16.18539254,452600.8285,16.40690309,15.67451828,19.62629949,5,33,24,41,,,60.08120061,38.33116037,5.0,4.0,3.0,2.0,3.0,2.0
C-1,3,617102.5,71,8691.584507,0.065789474,Crown,21203.0,Sparky,5045.0,Rhino,3404.0,K2,612.0,PortLand,270.0,30534,15.54684929,13.88514958,20.14294668,490135.6556,16.05212732,13.88514958,28.06803924,5,38,31,43,,,69.44062357,10.68658015,5.0,7.0,3.0,2.0,3.0,2.0
C-1,4,543027.7,63,8619.487302,0.112676056,Crown,12833.0,Sparky,3742.0,Rhino,3702.0,Bernie,1850.0,PortLand,244.0,22371,16.21453213,18.02966032,21.56064884,392131.464,17.52856216,16.21453213,21.56064884,5,28,20,35,,,57.36444504,-26.73413244,-10.0,-11.0,3.0,2.0,3.0,2.0
C-1,5,593887.3,71,8364.609859,0.0,Crown,11508.0,Rhino,7506.0,Sparky,6574.0,K2,1422.0,Bernie,1050.0,28790,15.44619365,22.73207858,15.99028582,527012.7162,18.30540869,15.44619365,27.77320653,7,57,42,68,PortLand,658.0,39.97221257,28.6933977,29.0,22.0,3.0,2.0,3.0,2.0
C-1,6,585531.5,67,8739.276119,0.056338028,Crown,22116.0,K2,2310.0,Sparky,2225.0,Rhino,144.0,,,26795,16.75117922,27.93171414,16.69002174,475329.1977,17.7394737,16.69002174,27.93171414,4,28,24,35,,,82.5377869,-6.929489406,-29.0,-18.0,3.0,2.0,3.0,2.0
C-1,7,576539.5,64,9008.429688,0.044776119,Crown,22807.0,Sparky,3212.0,Rhino,1356.0,K2,192.0,,,27567,16.58795791,16.82670747,22.51163756,468514.561,16.99548594,16.58795791,29.27000046,4,28,20,36,,,82.73297784,2.88113454,0.0,-4.0,3.0,2.0,3.0,2.0
C-1,8,540051.0,63,8572.238095,0.015625,Crown,23838.0,Sparky,1400.0,Rhino,1096.0,Bull,216.0,PortLand,131.0,26681,17.03121031,14.39723146,27.86645986,462692.6056,17.34165157,14.39723146,27.86645986,5,34,22,43,,,89.34447734,-3.213987739,6.0,2.0,3.0,2.0,3.0,2.0
C-1,9,536091.1,59,9086.289831,0.063492063,Crown,12983.0,K2,3936.0,Sparky,553.0,Rhino,144.0,,,17616,16.85223171,27.27000046,14.72172384,338539.3994,19.21772249,14.72172384,29.65999985,4,22,18,24,,,73.70004541,-33.97548818,-12.0,-4.0,3.0,2.0,3.0,2.0
C-2,1,657344.2,73,9004.715068,,Crown,19759.0,,,,,,,,,19759,16.18112174,,,319722.7844,16.18112174,16.18112174,16.18112174,1,12,8,16,,,100.0,,,,3.0,2.0,3.0,2.0
C-2,2,631480.2,72,8770.558333,0.01369863,Crown,14221.0,Rhino,1428.0,,,,,,,15649,16.38578692,20.12999916,,261767.9146,16.72745317,16.38578692,20.12999916,2,20,12,30,,,90.87481628,-20.80064781,8.0,4.0,3.0,2.0,3.0,2.0
C-2,3,623031.5,71,8775.091549,0.013888889,Crown,17454.0,Rhino,3050.0,,,,,,,20504,16.74490901,20.55759979,,354966.3213,17.31205234,16.74490901,20.55759979,2,15,6,25,,,85.12485369,31.0243466,-5.0,-6.0,3.0,2.0,3.0,2.0
C-2,4,533033.9,71,7507.519718,0.0,Crown,6239.0,Rhino,2902.0,Bernie,450.0,,,,,9591,16.27435972,20.32354557,18.83426094,168990.077,17.61965144,16.27435972,20.32354557,3,20,10,25,,,65.05056824,-53.22376122,5.0,4.0,3.0,2.0,3.0,2.0
C-2,5,583085.6,71,8212.473239,0.0,Crown,21507.0,Bernie,1300.0,,,,,,,22807,16.13450529,19.32986245,,372133.6264,16.31664078,16.13450529,19.32986245,2,16,11,20,,,94.29999562,137.7958503,-4.0,1.0,3.0,2.0,3.0,2.0
C-2,6,525646.4,63,8343.593651,0.112676056,Crown,12014.0,,,,,,,,,12014,17.07743044,,,205168.2493,17.07743044,17.07743044,17.07743044,1,22,10,27,,,100.0,-47.32319025,6.0,-1.0,3.0,2.0,3.0,2.0
