conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch
C-2,7,534175.8,59,9053.827119,0.063492063,Crown,18967,,,,,,,,,18967,15.96220082,,,15.96220082,15.96220082,15.96220082,1,17,9,25,,,100,6953,-11,-1
C-2,8,537181.3,59,9104.767797,0,Crown,20398,,,,,,,,,20398,17.00124432,,,17.00124432,17.00124432,17.00124432,1,19,8,22,,,100,1431,2,-1
C-2,9,578916.4,62,9337.36129,0,Crown,16817,,,,,,,,,16817,17.7854846,,,17.7854846,17.7854846,17.7854846,1,17,6,28,,,100,-3581,-2,-2
C-3,1,653500.6,74,8831.089189,,Crown,18134,Rhino,214,,,,,,,18348,16.54285232,15.07999992,,16.5257905,15.07999992,16.54285232,2,18,12,26,,,98.83366034,,,
C-3,2,647810.4,74,8754.194595,0,Crown,19341,,,,,,,,,19341,17.47682116,,,17.47682116,17.47682116,17.47682116,1,13,8,18,,,100,993,-5,-4
C-3,3,630407,70,9005.814286,0.054054054,Crown,20905,,,,,,,,,20905,17.34573644,,,17.34573644,17.34573644,17.34573644,1,19,8,21,,,100,1564,6,0
C-3,4,610928.1,70,8727.544286,0,Crown,14752,,,,,,,,,14752,16.16134845,,,16.16134845,16.16134845,16.16134845,1,17,7,21,,,100,-6153,-2,-1
C-3,5,656209.7,75,8749.462667,0,Crown,16182,,,,,,,,,16182,15.88464764,,,15.88464764,15.88464764,15.88464764,1,17,13,25,,,100,1430,0,6
C-3,6,531577.1,64,8305.892188,0.146666667,Crown,18430,,,,,,,,,18430,16.23636671,,,16.23636671,16.23636671,16.23636671,1,24,14,27,,,100,2248,7,1
C-3,7,542775.7,61,8897.962295,0.046875,Crown,23229,,,,,,,,,23229,17.09082556,,,17.09082556,17.09082556,17.09082556,1,26,11,41,,,100,4799,2,-3
C-3,8,541627.3,60,9027.121667,0.016393443,Crown,13237,,,,,,,,,13237,16.81434376,,,16.81434376,16.81434376,16.81434376,1,16,11,20,,,100,-9992,-10,0
C-3,9,516052.9,57,9053.559649,0.05,Crown,19042,Hannover,72,,,,,,,19114,17.15792023,27.25,,17.19593581,17.15792023,27.25,2,14,11,18,,,99.62331276,5877,-2,0
C-4,1,645171.4,76,8489.097368,,Crown,10138,,,,,,,,,10138,16.6234131,,,16.6234131,16.6234131,16.6234131,1,7,6,8,,,100,,,
C-4,2,647069.2,73,8863.961644,0.039473684,Crown,18755,,,,,,,,,18755,16.3000428,,,16.3000428,16.3000428,16.3000428,1,14,8,20,,,100,8617,7,2
