conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairNum,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
B-4,1,1045119.8,119,8782.519328,,T4,20026.0,Crown,7200.0,Sparky,5747.0,PortLand,4480.0,Reliance-B,48.0,37501.0,15.800000190734863,19.094990730285645,18.69781405427507,652051.3552093506,17.387572470316808,15.800000190734863,21.735015869140625,5.0,18.0,15.0,34.0,,,53.401242633529776,,,,,,,
B-4,2,1078708.3,116,9299.209483,0.025210084033613467,Sparky,22944.0,PortLand,6486.0,Joburg,1201.0,Rhino,60.0,,,30691.0,17.519946213920743,19.046469528146485,22.532722222219398,554040.6466989517,18.052218783974187,17.519946213920743,24.43000030517578,4.0,30.0,23.0,53.0,,,74.75807239907465,-18.15951574624677,12.0,8.0,3,2,2.5,2
B-4,3,1032239.6,118,8747.79322,0.0,Sparky,21696.0,Rhino,4734.0,PortLand,2948.0,,,,,29378.0,17.211557841670196,21.383434399603587,19.02449146539903,530735.3382205963,18.065740970133987,17.211557841670196,21.383434399603587,3.0,34.0,24.0,55.0,,,73.85118115596705,-4.278127138248999,4.0,1.0,3,2,2.5,2
B-4,4,930334.4,111,8381.390991,0.05932203389830504,Sparky,18202.0,Rhino,3480.0,Crown,2988.0,,,,,24670.0,15.797837522079389,20.6205516453447,16.05549148670641,407285.56686496735,16.509346042357816,15.797837522079389,20.6205516453447,3.0,27.0,26.0,54.0,,,73.7819213619781,-16.025597385798896,-7.0,2.0,3,2,2.5,2
B-4,5,981126.0,116,8457.982759,0.0,Sparky,23842.0,Bernie,800.0,,,,,,,24642.0,16.19001364869946,21.65376091003418,,403325.3141403198,16.36739364257446,16.19001364869946,21.65376091003418,2.0,36.0,35.0,50.0,,,96.75351026702378,-0.11349817592217759,9.0,9.0,3,2,2.5,2
B-4,6,1034608.8,115,8996.598261,0.008620689655172376,Sparky,28987.0,Addison,3000.0,,,,,,,31987.0,15.705572993271627,21.68333371480306,,520307.44550037384,16.266215822064396,15.705572993271627,21.68333371480306,2.0,27.0,25.0,40.0,,,90.62118985837996,29.806833860887917,-9.0,-10.0,3,2,2.5,2
B-4,7,1055478.6,115,9178.074783,0.0,Sparky,31149.0,Addison,3000.0,Hannover,240.0,,,,,34389.0,16.643581092665713,23.116666793823242,28.75,594680.9078369141,17.292765356274217,16.643581092665713,28.75,3.0,38.0,34.0,52.0,,,90.57838262235018,7.509300653390438,11.0,9.0,3,2,2.5,2
B-4,8,1056341.5,117,9028.559829,0.0,Sparky,26458.0,,,,,,,,,26458.0,18.41827552552324,,,487310.7338542938,18.41827552552324,18.41827552552324,18.41827552552324,1.0,23.0,20.0,30.0,,,100.0,-23.0626072290558,-15.0,-14.0,3,2,2.5,2
B-4,9,967285.6,116,8338.668966,0.008547008547008517,Sparky,9906.0,Crown,9428.0,Hannover,240.0,,,,,19574.0,16.678826248335305,18.169206918676778,27.125,343029.7356452942,17.524764261024533,16.678826248335305,27.125,3.0,20.0,18.0,26.0,,,50.60794932052723,-26.018595509864696,-3.0,-2.0,3,2,2.5,2
C-1,1,670368.3,74,9059.031081,,Crown,13602.0,Rhino,2452.0,Sparky,2393.0,PortLand,952.0,Decathlon,522.0,19942.0,15.578579259854768,20.42893961864428,17.24916486584687,324922.5900745392,16.293380306616147,6.28648042678833,20.42893961864428,6.0,28.0,20.0,34.0,T4,21.0,68.2078026276201,,,,3,2,3,2
C-1,2,668336.8,76,8793.905263,0.0,Crown,16574.0,Rhino,4124.0,Bull,3204.0,Sparky,3050.0,PortLand,634.0,27586.0,15.674518278802536,19.626299487168527,16.185392544064182,452600.82852458954,16.406903085789516,15.674518278802536,19.626299487168527,5.0,33.0,24.0,41.0,,,60.08120060900457,38.33116036505868,5.0,4.0,3,2,3,2
C-1,3,617102.5,71,8691.584507,0.06578947368421051,Crown,21203.0,Sparky,5045.0,Rhino,3404.0,K2,612.0,PortLand,270.0,30534.0,15.546849291408837,13.885149578816591,20.142946678098866,490135.6555662155,16.05212731925773,13.885149578816591,28.06803923962163,5.0,38.0,31.0,43.0,,,69.44062356717102,10.68658014935111,5.0,7.0,3,2,3,2
C-1,4,543027.7,63,8619.487302,0.11267605633802813,Crown,12833.0,Sparky,3742.0,Rhino,3702.0,Bernie,1850.0,PortLand,244.0,22371.0,16.214532127906516,18.02966032201501,21.56064884241435,392131.4640455246,17.52856215839813,16.214532127906516,21.56064884241435,5.0,28.0,20.0,35.0,,,57.36444504045416,-26.734132442523084,-10.0,-11.0,3,2,3,2
C-1,5,593887.3,71,8364.609859,0.0,Crown,11508.0,Rhino,7506.0,Sparky,6574.0,K2,1422.0,Bernie,1050.0,28790.0,15.4461936533016,22.732078576640642,15.990285817707132,527012.7161865234,18.305408690049443,15.4461936533016,27.773206525714084,7.0,57.0,42.0,68.0,PortLand,658.0,39.97221257381035,28.69339770238255,29.0,22.0,3,2,3,2
C-1,6,585531.5,67,8739.276119,0.05633802816901412,Crown,22116.0,K2,2310.0,Sparky,2225.0,Rhino,144.0,,,26795.0,16.751179223251206,27.931714144620027,16.690021739488238,475329.19771289825,17.73947369706655,16.690021739488238,27.931714144620027,4.0,28.0,24.0,35.0,,,82.53778690054115,-6.929489406043765,-29.0,-18.0,3,2,3,2
C-1,7,576539.5,64,9008.429688,0.04477611940298509,Crown,22807.0,Sparky,3212.0,Rhino,1356.0,K2,192.0,,,27567.0,16.587957905558476,16.826707471203832,22.51163756108917,468514.5609703064,16.995485942260906,16.587957905558476,29.270000457763672,4.0,28.0,20.0,36.0,,,82.73297783581819,2.88113454002612,0.0,-4.0,3,2,3,2
C-1,8,540051.0,63,8572.238095,0.015625,Crown,23838.0,Sparky,1400.0,Rhino,1096.0,Bull,216.0,PortLand,131.0,26681.0,17.0312103083774,14.39723145553044,27.866459860418836,462692.605591774,17.34165157197159,14.39723145553044,27.866459860418836,5.0,34.0,22.0,43.0,,,89.34447734342791,-3.213987738963253,6.0,2.0,3,2,3,2
C-1,9,536091.1,59,9086.289831,0.06349206349206349,Crown,12983.0,K2,3936.0,Sparky,553.0,Rhino,144.0,,,17616.0,16.85223171434224,27.270000457763672,14.721723839344211,338539.3994102478,19.21772249149908,14.721723839344211,29.65999984741211,4.0,22.0,18.0,24.0,,,73.70004541326067,-33.97548817510588,-12.0,-4.0,3,2,3,2
