QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
32885,Cambodia,2019,767,,,,,,,-1.0,-1.0,-1.0
18253,Cambodia,2016,769,,,,,,,-1.0,-1.0,-1.0
25316,Cambodia,2018,769,,,,,,,-1.0,-1.0,-1.0
34219,Cambodia,2019,769,,,,,,,-1.0,-1.0,-1.0
43035,Cambodia,2021,769,,,,,,,-1.0,-1.0,-1.0
12044,Cambodia,2015,772,,,,,,,-1.0,-1.0,-1.0
12323,Cambodia,2015,773,,,,,,,-1.0,-1.0,-1.0
21378,Cambodia,2017,773,,,,,,,-1.0,-1.0,-1.0
32030,Cambodia,2019,773,,,,,,,-1.0,-1.0,-1.0
9454,Cambodia,2015,775,mgt,,,0.0,,,-1.0,-1.0,-1.0
17543,Cambodia,2016,775,mgt,,,0.0,,,-1.0,-1.0,-1.0
21734,Cambodia,2017,775,mgt,,,0.0,,,-1.0,-1.0,-1.0
29270,Cambodia,2018,775,mgt,,,0.0,,,-1.0,-1.0,-1.0
36250,Cambodia,2019,775,mgt,,,0.0,,,-1.0,-1.0,-1.0
40662,Cambodia,2020,775,,,,,,,-1.0,-1.0,-1.0
8122,Indonesia,2015,778,,,,,,,-1.0,-1.0,-1.0
12852,Cambodia,2015,781,,,,,,,-1.0,-1.0,-1.0
19707,Cambodia,2017,781,,,,,,,-1.0,-1.0,-1.0
27411,Cambodia,2018,781,,,,,,,-1.0,-1.0,-1.0
33533,Cambodia,2019,781,,,,,,,-1.0,-1.0,-1.0
40728,Cambodia,2020,781,,,,,,,-1.0,-1.0,-1.0
11448,Cambodia,2015,783,uniqlo,levi's,,0.0,1.0,,29.0,47.0,-1.0
16981,Cambodia,2016,783,,,,,,,-1.0,-1.0,-1.0
22861,Cambodia,2017,783,uniqlo,levi's,,0.0,1.0,,29.0,47.0,-1.0
30039,Cambodia,2018,783,uniqlo,levi's,,0.0,1.0,,29.0,47.0,-1.0
36495,Cambodia,2019,783,uniqlo,levi's,,0.0,1.0,,29.0,47.0,-1.0
15141,Cambodia,2016,784,,,,,,,-1.0,-1.0,-1.0
20768,Cambodia,2017,784,,,,,,,-1.0,-1.0,-1.0
9648,Cambodia,2015,785,,,,,,,-1.0,-1.0,-1.0
15646,Cambodia,2016,785,,,,,,,-1.0,-1.0,-1.0
10691,Cambodia,2015,787,,,,,,,-1.0,-1.0,-1.0
13919,Cambodia,2016,788,,,,,,,-1.0,-1.0,-1.0
20517,Cambodia,2017,788,,,,,,,-1.0,-1.0,-1.0
28748,Cambodia,2018,788,,,,,,,-1.0,-1.0,-1.0
35679,Cambodia,2019,788,,,,,,,-1.0,-1.0,-1.0
41641,Cambodia,2021,788,,,,,,,-1.0,-1.0,-1.0
16227,Cambodia,2016,789,,,,,,,-1.0,-1.0,-1.0
22393,Cambodia,2017,789,stars design,,,0.0,,,-1.0,-1.0,-1.0
29636,Cambodia,2018,789,stars design,,,0.0,,,-1.0,-1.0,-1.0
36295,Cambodia,2019,789,stars design,,,0.0,,,-1.0,-1.0,-1.0
14802,Cambodia,2016,790,,,,,,,-1.0,-1.0,-1.0
11168,Cambodia,2015,792,,,,,,,-1.0,-1.0,-1.0
16977,Cambodia,2016,792,one step up,the genuine canadian corp.,,0.0,0.0,,-1.0,-1.0,-1.0
22580,Cambodia,2017,792,one step up,the genuine canadian corp.,,0.0,0.0,,-1.0,-1.0,-1.0
30004,Cambodia,2018,792,one step up,the genuine canadian corp.,,0.0,0.0,,-1.0,-1.0,-1.0
36878,Cambodia,2019,792,one step up,the genuine canadian corp.,,0.0,0.0,,-1.0,-1.0,-1.0
41386,Cambodia,2021,792,one step up,the genuine canadian corp.,,0.0,0.0,,-1.0,-1.0,-1.0
11128,Cambodia,2015,795,,,,,,,-1.0,-1.0,-1.0
14238,Cambodia,2016,796,michael miller,,,0.0,,,-1.0,-1.0,-1.0
19685,Cambodia,2017,796,michael miller,,,0.0,,,-1.0,-1.0,-1.0
27270,Cambodia,2018,796,,,,,,,-1.0,-1.0,-1.0
33705,Cambodia,2019,796,michael miller,,,0.0,,,-1.0,-1.0,-1.0
12419,Cambodia,2015,797,,,,,,,-1.0,-1.0,-1.0
18398,Cambodia,2017,797,,,,,,,-1.0,-1.0,-1.0
24838,Cambodia,2018,797,,,,,,,-1.0,-1.0,-1.0
13546,Vietnam,2016,799,,,,,,,-1.0,-1.0,-1.0
15453,Cambodia,2016,801,torrid,guess,,0.0,0.0,,-1.0,19.0,-1.0
22454,Cambodia,2017,801,,,,,,,-1.0,-1.0,-1.0
29243,Cambodia,2018,801,torrid,guess,,0.0,0.0,,-1.0,19.0,-1.0
41471,Cambodia,2021,801,torrid,guess,,0.0,0.0,,-1.0,19.0,-1.0
39949,Cambodia,2020,803,,,,,,,-1.0,-1.0,-1.0
42660,Cambodia,2021,803,,,,,,,-1.0,-1.0,-1.0
17289,Cambodia,2016,805,,,,,,,-1.0,-1.0,-1.0
21792,Cambodia,2017,805,,,,,,,-1.0,-1.0,-1.0
12867,Cambodia,2015,806,,,,,,,-1.0,-1.0,-1.0
18024,Cambodia,2016,806,,,,,,,-1.0,-1.0,-1.0
24087,Cambodia,2017,806,,,,,,,-1.0,-1.0,-1.0
38282,Cambodia,2020,806,,,,,,,-1.0,-1.0,-1.0
42529,Cambodia,2021,806,,,,,,,-1.0,-1.0,-1.0
16663,Cambodia,2016,807,,,,,,,-1.0,-1.0,-1.0
24841,Cambodia,2018,807,,,,,,,-1.0,-1.0,-1.0
33972,Cambodia,2019,807,,,,,,,-1.0,-1.0,-1.0
42608,Cambodia,2021,807,,,,,,,-1.0,-1.0,-1.0
17124,Cambodia,2016,808,,,,,,,-1.0,-1.0,-1.0
23964,Cambodia,2017,808,,,,,,,-1.0,-1.0,-1.0
34118,Cambodia,2019,808,,,,,,,-1.0,-1.0,-1.0
42883,Cambodia,2021,808,,,,,,,-1.0,-1.0,-1.0
10129,Cambodia,2015,809,,,,,,,-1.0,-1.0,-1.0
15923,Cambodia,2016,809,,,,,,,-1.0,-1.0,-1.0
21613,Cambodia,2017,809,,,,,,,-1.0,-1.0,-1.0
30005,Cambodia,2018,809,,,,,,,-1.0,-1.0,-1.0
37579,Cambodia,2019,809,,,,,,,-1.0,-1.0,-1.0
40683,Cambodia,2020,809,,,,,,,-1.0,-1.0,-1.0
14353,Cambodia,2016,810,asos,h&m,,1.0,1.0,,50.0,55.0,-1.0
20412,Cambodia,2017,810,asos,h&m,,1.0,1.0,,50.0,55.0,-1.0
27438,Cambodia,2018,810,asos,h&m,,1.0,1.0,,50.0,55.0,-1.0
35684,Cambodia,2019,810,asos,h&m,,1.0,1.0,,50.0,55.0,-1.0
40401,Cambodia,2020,810,asos,h&m,,1.0,1.0,,50.0,55.0,-1.0
43446,Cambodia,2021,810,,,,,,,-1.0,-1.0,-1.0
11381,Cambodia,2015,811,,,,,,,-1.0,-1.0,-1.0
18335,Cambodia,2017,811,,,,,,,-1.0,-1.0,-1.0
14487,Cambodia,2016,812,nygard,,,0.0,,,-1.0,-1.0,-1.0
20691,Cambodia,2017,812,nygard,,,0.0,,,-1.0,-1.0,-1.0
26985,Cambodia,2018,812,nygard,,,0.0,,,-1.0,-1.0,-1.0
34413,Cambodia,2019,812,,,,,,,-1.0,-1.0,-1.0
13308,Cambodia,2016,813,adidas,reebok,,0.0,0.0,,58.0,58.0,-1.0
18856,Cambodia,2017,813,adidas,reebok,,0.0,0.0,,58.0,58.0,-1.0
26819,Cambodia,2018,813,adidas,reebok,,0.0,0.0,,58.0,58.0,-1.0
34428,Cambodia,2019,813,,,,,,,-1.0,-1.0,-1.0
43099,Cambodia,2021,813,adidas,reebok,,0.0,0.0,,58.0,58.0,-1.0
12416,Cambodia,2015,815,,,,,,,-1.0,-1.0,-1.0
17317,Cambodia,2016,815,,,,,,,-1.0,-1.0,-1.0
22640,Cambodia,2017,815,,,,,,,-1.0,-1.0,-1.0
33943,Cambodia,2019,815,,,,,,,-1.0,-1.0,-1.0
10553,Cambodia,2015,816,,,,,,,-1.0,-1.0,-1.0
16268,Cambodia,2016,816,,,,,,,-1.0,-1.0,-1.0
10550,Cambodia,2015,817,,,,,,,-1.0,-1.0,-1.0
16954,Cambodia,2016,817,zenana,,,0.0,,,-1.0,-1.0,-1.0
22825,Cambodia,2017,817,zenana,,,0.0,,,-1.0,-1.0,-1.0
30016,Cambodia,2018,817,zenana,,,0.0,,,-1.0,-1.0,-1.0
36300,Cambodia,2019,817,zenana,,,0.0,,,-1.0,-1.0,-1.0
40652,Cambodia,2020,817,zenana,,,0.0,,,-1.0,-1.0,-1.0
43294,Cambodia,2021,817,zenana,,,0.0,,,-1.0,-1.0,-1.0
16055,Cambodia,2016,818,,,,,,,-1.0,-1.0,-1.0
10112,Cambodia,2015,819,,,,,,,-1.0,-1.0,-1.0
18231,Cambodia,2017,819,,,,,,,-1.0,-1.0,-1.0
11217,Cambodia,2015,820,,,,,,,-1.0,-1.0,-1.0
18098,Cambodia,2016,820,,,,,,,-1.0,-1.0,-1.0
24310,Cambodia,2017,820,,,,,,,-1.0,-1.0,-1.0
31722,Cambodia,2019,820,,,,,,,-1.0,-1.0,-1.0
14127,Cambodia,2016,821,,,,,,,-1.0,-1.0,-1.0
20578,Cambodia,2017,821,ambiance,walmart,,0.0,0.0,,-1.0,25.0,-1.0
29053,Cambodia,2018,821,ambiance,walmart,,0.0,0.0,,-1.0,25.0,-1.0
35443,Cambodia,2019,821,ambiance,walmart,,0.0,0.0,,-1.0,25.0,-1.0
40339,Cambodia,2020,821,ambiance,walmart,,0.0,0.0,,-1.0,25.0,-1.0
12615,Cambodia,2015,825,american global logistics,,,0.0,,,-1.0,-1.0,-1.0
18416,Cambodia,2017,825,american global logistics,,,0.0,,,-1.0,-1.0,-1.0
25645,Cambodia,2018,825,american global logistics,,,0.0,,,-1.0,-1.0,-1.0
32139,Cambodia,2019,825,american global logistics,,,0.0,,,-1.0,-1.0,-1.0
39154,Cambodia,2020,825,american global logistics,,,0.0,,,-1.0,-1.0,-1.0
42472,Cambodia,2021,825,,,,,,,-1.0,-1.0,-1.0
17128,Cambodia,2016,827,,,,,,,-1.0,-1.0,-1.0
12318,Cambodia,2015,828,burleigh point,ealytex international,,0.0,0.0,,-1.0,-1.0,-1.0
18468,Cambodia,2017,828,,,,,,,-1.0,-1.0,-1.0
24806,Cambodia,2018,828,burleigh point,ealytex international,,0.0,0.0,,-1.0,-1.0,-1.0
37796,Cambodia,2019,828,burleigh point,ealytex international,,0.0,0.0,,-1.0,-1.0,-1.0
41329,Cambodia,2021,828,burleigh point,ealytex international,,0.0,0.0,,-1.0,-1.0,-1.0
12119,Cambodia,2015,829,,,,,,,-1.0,-1.0,-1.0
17987,Cambodia,2016,829,,,,,,,-1.0,-1.0,-1.0
24478,Cambodia,2018,829,,,,,,,-1.0,-1.0,-1.0
31731,Cambodia,2019,829,,,,,,,-1.0,-1.0,-1.0
38712,Cambodia,2020,829,,,,,,,-1.0,-1.0,-1.0
9878,Cambodia,2015,830,,,,,,,-1.0,-1.0,-1.0
16552,Cambodia,2016,830,nygard international,,,0.0,,,-1.0,-1.0,-1.0
22775,Cambodia,2017,830,nygard international,,,0.0,,,-1.0,-1.0,-1.0
29673,Cambodia,2018,830,nygard international,,,0.0,,,-1.0,-1.0,-1.0
10547,Cambodia,2015,832,,,,,,,-1.0,-1.0,-1.0
16047,Cambodia,2016,832,,,,,,,-1.0,-1.0,-1.0
13404,Cambodia,2016,833,,,,,,,-1.0,-1.0,-1.0
14601,Cambodia,2016,835,,,,,,,-1.0,-1.0,-1.0
12427,Cambodia,2015,836,,,,,,,-1.0,-1.0,-1.0
17640,Cambodia,2016,836,,,,,,,-1.0,-1.0,-1.0
24350,Cambodia,2017,836,,,,,,,-1.0,-1.0,-1.0
11600,Cambodia,2015,838,,,,,,,-1.0,-1.0,-1.0
17892,Cambodia,2016,838,,,,,,,-1.0,-1.0,-1.0
24337,Cambodia,2017,838,,,,,,,-1.0,-1.0,-1.0
14572,Cambodia,2016,839,,,,,,,-1.0,-1.0,-1.0
24059,Cambodia,2017,839,,,,,,,-1.0,-1.0,-1.0
32410,Cambodia,2019,839,,,,,,,-1.0,-1.0,-1.0
9673,Cambodia,2015,840,,,,,,,-1.0,-1.0,-1.0
21234,Cambodia,2017,840,under armour,,,0.0,,,22.0,-1.0,-1.0
29295,Cambodia,2018,840,under armour,,,0.0,,,22.0,-1.0,-1.0
40546,Cambodia,2020,840,under armour,,,0.0,,,22.0,-1.0,-1.0
10259,Cambodia,2015,841,,,,,,,-1.0,-1.0,-1.0
18919,Cambodia,2017,841,williamson dickie,,,0.0,,,-1.0,-1.0,-1.0
26134,Cambodia,2018,841,williamson dickie,,,0.0,,,-1.0,-1.0,-1.0
10820,Cambodia,2015,842,,,,,,,-1.0,-1.0,-1.0
